File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V5_J150_T20_R60_B10_W1_S49_N9.txt,5,150,23,1,879,879,0.00,0.49
Ins_V10_J200_T10_R60_B10_W1_S335_N5.txt,10,200,11,1,338,338,0.00,2.57
Ins_V10_J100_T10_R60_B10_W1_S244_N4.txt,10,100,12,1,147,148,0.68,0.19
Ins_V10_J150_T20_R60_B10_W4_S76_N6.txt,10,150,25,4,717,717,0.00,242.11
Ins_V2_J200_T20_R60_B10_W4_S288_N8.txt,2,200,25,4,5309,5309,0.00,240.12
Ins_V10_J100_T10_R60_B10_W4_S246_N6.txt,10,100,11,4,327,327,0.00,1.12
Ins_V2_J200_T30_R60_B10_W1_S295_N5.txt,2,200,40,1,4743,4743,0.00,0.79
Ins_V10_J150_T10_R60_B10_W4_S62_N2.txt,10,150,12,4,570,570,0.00,31.47
Ins_V5_J100_T20_R60_B10_W4_S220_N0.txt,5,100,23,4,988,988,0.00,0.59
Ins_V5_J100_T20_R60_B10_W2_S223_N3.txt,5,100,28,2,814,814,0.00,0.21
Ins_V2_J50_T20_R60_B10_W1_S109_N9.txt,2,50,27,1,817,817,0.00,0.04
Ins_V10_J150_T20_R60_B10_W4_S72_N2.txt,10,150,26,4,769,769,0.00,242.95
Ins_V2_J100_T10_R60_B10_W1_S186_N6.txt,2,100,13,1,1059,1059,0.00,0.12
Ins_V5_J50_T10_R60_B10_W4_S121_N1.txt,5,50,11,5,454,454,0.00,1.25
Ins_V10_J100_T20_R60_B10_W4_S255_N5.txt,10,100,27,4,475,475,0.00,112.56
Ins_V2_J200_T20_R60_B10_W4_S287_N7.txt,2,200,24,4,5091,5091,0.00,240.10
Ins_V10_J50_T10_R60_B10_W4_S152_N2.txt,10,50,14,4,149,174,16.78,0.20
Ins_V5_J50_T20_R60_B10_W2_S136_N6.txt,5,50,27,2,371,374,0.81,0.07
Ins_V5_J50_T20_R60_B10_W4_S131_N1.txt,5,50,28,4,486,486,0.00,0.09
Ins_V2_J150_T20_R60_B10_W4_S13_N3.txt,2,150,24,4,3970,3970,0.00,240.61
Ins_V5_J150_T10_R60_B10_W1_S31_N1.txt,5,150,12,1,556,556,0.00,0.47
Ins_V2_J200_T10_R60_B10_W2_S279_N9.txt,2,200,12,2,2751,2751,0.00,0.88
Ins_V2_J150_T10_R60_B10_W2_S1_N1.txt,2,150,12,2,2007,2007,0.00,0.35
Ins_V2_J200_T30_R60_B10_W2_S292_N2.txt,2,200,36,2,5026,5026,0.00,0.67
Ins_V5_J50_T30_R60_B10_W1_S143_N3.txt,5,50,38,1,412,425,3.16,0.05
Ins_V10_J100_T10_R60_B10_W4_S243_N3.txt,10,100,11,4,327,327,0.00,3.75
Ins_V2_J50_T30_R60_B10_W2_S118_N8.txt,2,50,41,2,1358,1358,0.00,0.04
Ins_V2_J150_T10_R60_B10_W1_S9_N9.txt,2,150,12,1,1470,1470,0.00,0.35
Ins_V10_J100_T10_R60_B10_W2_S244_N4.txt,10,100,12,2,219,220,0.46,70.04
Ins_V10_J200_T10_R60_B10_W2_S333_N3.txt,10,200,12,2,510,510,0.00,1.17
Ins_V10_J200_T10_R60_B10_W4_S335_N5.txt,10,200,11,4,758,758,0.00,240.89
Ins_V5_J200_T10_R60_B10_W4_S305_N5.txt,5,200,12,4,1555,1555,0.00,240.19
Ins_V2_J50_T10_R60_B10_W1_S99_N9.txt,2,50,11,1,433,433,0.00,0.03
Ins_V10_J50_T20_R60_B10_W4_S168_N8.txt,10,50,26,4,209,220,5.26,0.21
Ins_V5_J200_T30_R60_B10_W1_S320_N0.txt,5,200,38,1,1810,1810,0.00,0.93
Ins_V10_J50_T30_R60_B10_W4_S178_N8.txt,10,50,43,4,318,319,0.31,3.80
Ins_V10_J50_T20_R60_B10_W1_S161_N1.txt,10,50,25,1,126,126,0.00,0.05
Ins_V5_J150_T10_R60_B10_W4_S34_N4.txt,5,150,12,4,1138,1138,0.00,240.38
Ins_V5_J100_T20_R60_B10_W4_S222_N2.txt,5,100,27,4,1084,1084,0.00,1.24
Ins_V10_J100_T20_R60_B10_W2_S258_N8.txt,10,100,25,2,358,358,0.00,0.60
Ins_V2_J150_T10_R60_B10_W1_S1_N1.txt,2,150,12,1,1497,1497,0.00,0.30
Ins_V10_J150_T30_R60_B10_W1_S87_N7.txt,10,150,35,1,585,586,0.17,0.40
Ins_V2_J50_T20_R60_B10_W1_S104_N4.txt,2,50,26,1,802,802,0.00,0.03
Ins_V2_J50_T10_R60_B10_W1_S90_N0.txt,2,50,11,1,447,447,0.00,0.03
Ins_V2_J200_T10_R60_B10_W1_S274_N4.txt,2,200,12,1,2032,2032,0.00,0.57
